individual,species,lab,sex,age,condition,round,range,urban_habitat,adult_sociality,caching,source,live_hunting,flock_size,touch,latency
AL128,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,108
AL128,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL128,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL128,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,72
AL129,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,30
AL129,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,55
AL129,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,15
AL129,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL129,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL129,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL133,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,42
AL133,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,22
AL133,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,31
AL133,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL133,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,82
AL133,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL134,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,47
AL134,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,16
AL134,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,13
AL134,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,571
AL134,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,428
AL134,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,69
AL135,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,65
AL135,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,306
AL135,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,165
AL135,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL135,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL135,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL137,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,0,600
AL137,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,53
AL137,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,515
AL137,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL137,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL137,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL141,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,112
AL141,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL141,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,86
AL141,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL141,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL141,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL142,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,0,600
AL142,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL142,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,0,600
AL142,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL142,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL142,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL143,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,0,600
AL143,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,148
AL143,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,170
AL143,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL143,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL143,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL146,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,490
AL146,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,8
AL146,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,166
AL146,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,224
AL146,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,95
AL146,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL147,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,71
AL147,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,64
AL147,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,42
AL147,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL147,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,122
AL147,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,306
AL149,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,8
AL149,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,14
AL149,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,5
AL149,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,1,186
AL149,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,252
AL149,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,30
AL153,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,106
AL153,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,72
AL153,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,125
AL153,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL153,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,267
AL153,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL154,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,114
AL154,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,170
AL154,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,403
AL154,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL154,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,255
AL154,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL155,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,0,600
AL155,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL155,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,0,600
AL155,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL155,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL155,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL157,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,0,600
AL157,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,272
AL157,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,57
AL157,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL157,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL157,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL158,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,440
AL158,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,8
AL158,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,9
AL158,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL158,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL158,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,211
AL159,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,11
AL159,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,37
AL159,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,48
AL159,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL159,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL159,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL161,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,31
AL161,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,71
AL161,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,19
AL161,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL161,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL161,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,77
AL164,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,21
AL164,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,31
AL164,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,6
AL164,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL164,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,61
AL164,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,153
AL165,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,97
AL165,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL165,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,13
AL165,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL165,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL165,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,222
AL166,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,17
AL166,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,27
AL166,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,90
AL166,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
